date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:31	43/43	---M-Z	200	added ('OK')	text/plain	etag:W/%2223-1403665317000%22	http://www.wcm-partners.com/robots.txt		(from )
10:26:31	7116/7116	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:18%20GMT	http://www.wcm-partners.com/	D:/My%20Web%20Sites/w/index-2.html	(from )
10:26:31	33045/33045	---M-Z	200	added ('OK')	text/css	etag:W/%2233045-1467382448000%22	http://www.wcm-partners.com/0/25.css	D:/My%20Web%20Sites/w/0/25.css	(from http://www.wcm-partners.com/)
10:26:32	16763/16763	---M-Z	200	added ('OK')	text/css	etag:W/%2216763-1455830250000%22	http://www.wcm-partners.com/0/984.css	D:/My%20Web%20Sites/w/0/984.css	(from http://www.wcm-partners.com/)
10:26:33	428675/428675	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:19%20GMT	http://www.wcm-partners.com/0/leglbls1.js	D:/My%20Web%20Sites/w/0/leglbls1.html	(from http://www.wcm-partners.com/)
10:26:34	460/460	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Jul%202016%2014:27:21%20GMT	http://fast.fonts.net/cssapi/20592d13-83b7-47bf-bfce-cc04ebd4f31a.css	D:/My%20Web%20Sites/w/cssapi/20592d13-83b7-47bf-bfce-cc04ebd4f31a.4.delayed	(from http://www.wcm-partners.com/)
10:26:34	21175/21175	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:20%20GMT	http://www.wcm-partners.com/upload/skype-uri.js	D:/My%20Web%20Sites/w/upload/skype-uri.html	(from http://www.wcm-partners.com/)
10:26:34	27580/27580	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	D:/My%20Web%20Sites/w/analytics.js	(from http://www.wcm-partners.com/)
10:26:34	18886/18886	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:22%20GMT	http://www.wcm-partners.com/0/lemd921.js	D:/My%20Web%20Sites/w/0/lemd921.html	(from http://www.wcm-partners.com/)
10:26:35	12793/12793	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:23%20GMT	http://www.wcm-partners.com/home	D:/My%20Web%20Sites/w/home.html	(from http://www.wcm-partners.com/)
10:26:36	20319/20319	---M-Z	200	added ('OK')	text/javascript	etag:%222457752445+gzip%22	http://fast.fonts.net/jsapi/75448219-0b5f-4561-b3a1-a4cb1a44ba50.js	D:/My%20Web%20Sites/w/jsapi/75448219-0b5f-4561-b3a1-a4cb1a44ba50.js	(from http://www.wcm-partners.com/)
10:26:36	1662/1662	---M--	200	added ('OK')	image/png	etag:W/%221662-1403664176000%22	http://www.wcm-partners.com/upload/website_images/wcm-logo.png	D:/My%20Web%20Sites/w/upload/website_images/wcm-logo.png	(from http://www.wcm-partners.com/)
10:26:36	30793/30793	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:23%20GMT	http://www.wcm-partners.com/work	D:/My%20Web%20Sites/w/work.html	(from http://www.wcm-partners.com/)
10:26:36	83495/83495	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.0.2/jquery.min.js	D:/My%20Web%20Sites/w/ajax/libs/jquery/2.0.2/jquery.min.js	(from http://www.wcm-partners.com/)
10:26:36	9472/9472	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:24%20GMT	http://www.wcm-partners.com/people	D:/My%20Web%20Sites/w/people.html	(from http://www.wcm-partners.com/)
10:26:37	11389/11389	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:24%20GMT	http://www.wcm-partners.com/about	D:/My%20Web%20Sites/w/about.html	(from http://www.wcm-partners.com/)
10:26:37	17292/17292	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:24%20GMT	http://www.wcm-partners.com/capabilities	D:/My%20Web%20Sites/w/capabilities.html	(from http://www.wcm-partners.com/)
10:26:37	14380/14380	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:24%20GMT	http://www.wcm-partners.com/experience	D:/My%20Web%20Sites/w/experience.html	(from http://www.wcm-partners.com/)
10:26:38	17466/17466	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:25%20GMT	http://www.wcm-partners.com/soapbox	D:/My%20Web%20Sites/w/soapbox.html	(from http://www.wcm-partners.com/)
10:26:38	7633/7633	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:25%20GMT	http://www.wcm-partners.com/careers	D:/My%20Web%20Sites/w/careers.html	(from http://www.wcm-partners.com/)
10:26:38	39648/39648	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:25%20GMT	http://www.wcm-partners.com/contact-us	D:/My%20Web%20Sites/w/contact-us.html	(from http://www.wcm-partners.com/)
10:26:39	14813/14813	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:27:26%20GMT	http://www.wcm-partners.com/terms-of-use-privacy-policy	D:/My%20Web%20Sites/w/terms-of-use-privacy-policy.html	(from http://www.wcm-partners.com/)
10:26:39	676/676	---M--	200	added ('OK')	image/png	etag:W/%22676-1410201091000%22	http://www.wcm-partners.com/upload/image_library/close-icon.png	D:/My%20Web%20Sites/w/upload/image_library/close-icon.png	(from http://www.wcm-partners.com/0/25.css)
10:26:39	833/833	---M--	200	added ('OK')	image/png	etag:W/%22833-1410201089000%22	http://www.wcm-partners.com/upload/image_library/arrow-left.png	D:/My%20Web%20Sites/w/upload/image_library/arrow-left.png	(from http://www.wcm-partners.com/0/25.css)
10:26:40	819/819	---M--	200	added ('OK')	image/png	etag:W/%22819-1410201082000%22	http://www.wcm-partners.com/upload/image_library/arrow-right.png	D:/My%20Web%20Sites/w/upload/image_library/arrow-right.png	(from http://www.wcm-partners.com/0/25.css)
10:27:04	65591/65591	---M--	200	added ('OK')	image/jpeg	etag:W/%2265591-1410201089000%22	http://www.wcm-partners.com/upload/image_library/contact-tablet-landscape.jpg	D:/My%20Web%20Sites/w/upload/image_library/contact-tablet-landscape.jpg	(from http://www.wcm-partners.com/0/25.css)
10:27:05	85848/85848	---M--	200	added ('OK')	image/jpeg	etag:W/%2285848-1410201089000%22	http://www.wcm-partners.com/upload/image_library/contact-tablet-portrait.jpg	D:/My%20Web%20Sites/w/upload/image_library/contact-tablet-portrait.jpg	(from http://www.wcm-partners.com/0/25.css)
10:27:14	239586/239586	---M--	200	added ('OK')	image/png	etag:W/%22239586-1410201076000%22	http://www.wcm-partners.com/upload/image_library/bg-contact-small.png	D:/My%20Web%20Sites/w/upload/image_library/bg-contact-small.png	(from http://www.wcm-partners.com/0/25.css)
10:27:15	141/141	---M--	200	added ('OK')	image/png	etag:W/%22141-1410201082000%22	http://www.wcm-partners.com/upload/image_library/wcm-stripes.png	D:/My%20Web%20Sites/w/upload/image_library/wcm-stripes.png	(from http://www.wcm-partners.com/0/25.css)
10:27:16	13/13	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Jul%202016%2014:28:03%20GMT	http://www.wcm-partners.com/0/ProcessCache.ajax	D:/My%20Web%20Sites/w/0/ProcessCache.ajax	(from http://www.wcm-partners.com/0/leglbls1.js)
10:27:16	995/995	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Jul%202016%2014:28:04%20GMT	http://www.wcm-partners.com/0/clone(this.data);var	D:/My%20Web%20Sites/w/0/clone(this.data);var	(from http://www.wcm-partners.com/0/leglbls1.js)
10:27:17	1773/1773	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:28:04%20GMT	http://www.wcm-partners.com/0/{selected_options:%22%22,category_definition:{type:%22cat_def3%22,id:0,deleteRecord:false,createRecord:false}	D:/My%20Web%20Sites/w/0/{selected_options___,category_definition_{type__cat_def3_,id_0,deleteRecord_false,createRecord_false}.html	(from http://www.wcm-partners.com/0/leglbls1.js)
10:27:18	1773/1773	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2014:28:05%20GMT	http://www.wcm-partners.com/0/{default_value:%22%22,value:%22%22,category_definition:{type:%22cat_def3%22,id:0,deleteRecord:false,createRecord:false}	D:/My%20Web%20Sites/w/0/{default_value___,value___,category_definition_{type__cat_def3_,id_0,deleteRecord_false,createRecord_false}.html	(from http://www.wcm-partners.com/0/leglbls1.js)
